businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
,广州微用信息科技有限公司,187049,广州微用科技,少于15人,2018-11-13 14:40:59,天河区,大专,不需要融资,移动互联网,Python开发工程师,10k-20k
"['天河公园', '东圃', '棠下']",优维科技（深圳）有限公司,105373,优维科技,50-150人,2018-11-09 11:38:22,天河区,本科,B轮,"移动互联网,企业服务",Python开发-驻场广州,10k-20k
"['员村', '珠江新城', '石牌']",广州嘉为科技有限公司,29292,嘉为科技,150-500人,2018-11-07 08:59:47,天河区,本科,未融资,"企业服务 ,数据服务",python开发工程师,8k-10k
,广东紫晶信息存储技术股份有限公司,125922,广东紫晶,150-500人,2018-11-19 10:27:15,番禺区,不限,上市公司,"数据服务,其他",Python高级开发工程师,15k-30k
['天河北'],广州淘通科技股份有限公司,216547,淘通科技,150-500人,2018-11-12 17:57:20,天河区,大专,C轮,电子商务,python工程师/后端开发工程师,8k-10k
"['员村', '东圃', '棠下']",广州富融信息技术有限公司,395352,广州富融,15-50人,2018-10-29 17:33:31,天河区,本科,未融资,"移动互联网,金融",Python开发工程师,6k-9k
['琶洲'],上海触乐信息科技有限公司,7030,触宝,150-500人,2018-11-20 09:58:01,海珠区,本科,上市公司,"移动互联网,数据服务",资深后端开发工程师（Python）,25k-40k
"['五山', '石牌', '天河北']",广州宇创天成科技有限公司,361944,宇创天成科技,15-50人,2018-11-21 18:14:36,天河区,大专,不需要融资,"移动互联网,游戏",python后端,10k-20k
"['岗顶', '龙口', '石牌']",海南元游信息技术有限公司广州分公司,133884,海南元游信息,150-500人,2018-11-22 10:06:38,天河区,本科,不需要融资,游戏,Python后台开发-2019届校园招聘,7k-12k
,广东优德科技有限公司,143093,优德科技,少于15人,2018-11-19 14:10:48,海珠区,大专,未融资,"移动互联网,企业服务",Python实习工程师,3k-5k
"['珠江新城', '沙河']",广州经传多赢投资咨询有限公司,310815,经传多赢,2000人以上,2018-11-22 15:38:13,天河区,本科,不需要融资,"移动互联网,金融",Python高级开发攻城狮【珠江新城】,15k-25k
,广州伊的家网络科技有限公司,11891,伊的家,2000人以上,2018-11-21 10:00:12,天河区,大专,不需要融资,电子商务,Python后端开发工程师【珠江新城】,10k-20k
['琶洲'],上海触乐信息科技有限公司,7030,触宝,150-500人,2018-11-20 09:58:01,海珠区,本科,上市公司,"移动互联网,数据服务",高级后端开发工程师（Python）,15k-30k
,广州钛动科技有限公司,66008,Mobisummer,150-500人,2018-11-21 17:06:35,天河区,大专,A轮,"移动互联网,广告营销",后端开发工程师（python）,8k-15k
"['天园', '天河公园', '棠下']",广州市擎天柱网络科技有限公司,9619,擎天柱,150-500人,2018-11-22 08:53:08,天河区,本科,不需要融资,游戏,游戏服务器开发工程师（C/C++/Python）,10k-15k
"['员村', '东圃', '棠下']",广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-22 17:55:10,天河区,本科,上市公司,游戏,Python服务端开发（手游支持）,16k-20k
['沙河'],深圳火石信息科技有限公司,212992,火石信科,少于15人,2018-11-08 22:22:56,天河区,本科,天使轮,"移动互联网,硬件",Python后端开发工程师,10K-20K
"['棠下', '员村', '天河公园']",广州润普网络科技有限公司,10909,易工作,50-150人,2018-11-11 23:17:35,天河区,不限,不需要融资,企业服务,Python实习,2k-4k
,中经汇通电子商务有限公司,76499,中经汇通,500-2000人,2018-11-02 12:00:54,萝岗区,本科,不需要融资,"移动互联网,电子商务",Java/PHP/Python高级开发工程师,10k-20k
['大学城'],广州建杉科技有限公司,140320,建杉科技,15-50人,2018-11-16 18:26:54,番禺区,本科,天使轮,"硬件,电子商务",Python后端开发,15k-20k
,广东星舆科技有限公司,321881,星舆科技,50-150人,2018-11-14 12:03:38,天河区,本科,A轮,"移动互联网,数据服务",中级Python开发工程师（平台开发）,12k-24k
"['五羊新城', '岭南']",北京玖易创新网络科技有限公司,425838,玖易创新,150-500人,2018-11-10 14:41:37,越秀区,本科,上市公司,"移动互联网,硬件",中级Python后端开发工程师,8k-12k
,广州德利信息科技有限公司,27635,德利,少于15人,2018-11-21 00:04:20,,本科,A轮,"移动互联网,电子商务",Python web高级工程师,12k-24k
"['东圃', '前进']",江苏传智播客教育科技有限公司广州分公司,121948,传智播客广州分校,150-500人,2018-11-06 10:41:18,天河区,大专,上市公司,教育,Python web讲师,20k-30k
"['琶洲', '新港', '赤岗']",广州哆啦科技有限公司,250149,Fordeal,500-2000人,2018-11-20 11:39:26,海珠区,本科,B轮,"电子商务,移动互联网",Python爬虫工程师,15k-30k
,广东星舆科技有限公司,321881,星舆科技,50-150人,2018-11-14 12:03:44,天河区,本科,A轮,"移动互联网,数据服务",初级Python开发工程师（平台开发）,6k-12k
"['天园', '天河公园', '棠下']",广州市擎天柱网络科技有限公司,9619,擎天柱,150-500人,2018-11-22 08:53:08,天河区,本科,不需要融资,游戏,游戏服务器开发工程师（C/C++/Python）,5k-10k
"['琶洲', '新港', '赤岗']",广州哆啦科技有限公司,250149,Fordeal,500-2000人,2018-11-20 11:39:28,海珠区,本科,B轮,"电子商务,移动互联网",资深Python爬虫工程师,25k-50k
"['水荫', '沙河', '天河北']",广州聚焦网络技术有限公司,39248,聚焦网络集团,150-500人,2018-11-20 11:13:21,越秀区,本科,未融资,"移动互联网,电子商务",Python爬虫工程师,10k-20k
"['冼村', '珠江新城', '沙河']",广州大世信息科技有限公司,206430,大世科技,15-50人,2018-11-19 11:56:30,天河区,本科,未融资,"移动互联网,游戏",Python网页后端,8k-15k
"['南浦', '洛溪', '大石']",广东盟讯科技有限公司,309580,盟讯科技,15-50人,2018-11-20 15:02:06,番禺区,大专,不需要融资,"移动互联网,其他",Python爬虫工程师,7k-10k
"['东圃', '前进', '车陂']",广州艾克斯曼网络科技有限公司,160121,X-MEN,150-500人,2018-11-19 11:08:48,天河区,本科,不需要融资,游戏,C++/python主程,15k-20k
